
here is the system stat while the mongodum script running

Device name	vm-01-c-prod
Processor	AMD EPYC 7763 64-Core Processor                   2.44 GHz
Installed RAM	64.0 GB
Device ID	8A5101F6-84A3-4729-820A-3F8003AADA8D
Product ID	00454-60000-00001-AA965
System type	64-bit operating system, x64-based processor
Pen and touch	No pen or touch input is available for this display

Network utilization

Image	PID	Address	Send (B/sec)	Receive (B/sec)	Total (B/sec)
taskhostw.exe	3008	Host Process for Windows Tasks	Running	11	0	0.00
SenseTVM.exe	6148	Windows Defender Advanced Threat Protection Sense TVM module	Running	12	0	0.00
Code.exe	13156	Visual Studio Code	Running	12	0	0.00
Code.exe	17344	Visual Studio Code	Running	12	0	0.00
csrss.exe	6524		Running	11	0	0.00
svchost.exe (DcomLaunch -p)	1260	Host Process for Windows Services	Running	10	0	0.00
svchost.exe (netsvcs)	3052	Host Process for Windows Services	Running	11	0	0.00
SystemSettings.exe	17116	Settings	Running	8	0	0.00
MpDefenderCoreService.exe	5332		Running	10	0	0.00
svchost.exe (utcsvc -p)	3732	Host Process for Windows Services	Running	9	0	0.00
svchost.exe (netsvcs -p)	3812	Host Process for Windows Services	Running	10	0	0.00
csrss.exe	900		Running	10	0	0.00
sihost.exe	10916	Shell Infrastructure Host	Running	7	0	0.00
snowagent.exe	4060	Snow Inventory Agent for Windows	Running	10	0	0.00
gc_service.exe	1820	gc_service.exe	Running	9	0	0.00
msdtc.exe	3704	Microsoft Distributed Transaction Coordinator Service	Running	9	0	0.00
WUDFHost.exe	17252	Windows Driver Foundation - User-mode Driver Framework Host Process	Running	8	0	0.00
svchost.exe (LocalServiceNetworkRestricted -p)	1648	Host Process for Windows Services	Running	8	0	0.00
svchost.exe (netsvcs -p)	2356	Host Process for Windows Services	Running	6	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	1580	Host Process for Windows Services	Running	8	0	0.00
StartMenuExperienceHost.exe	9324	StartMenuExperienceHost.exe	Running	6	0	0.00
Code.exe	16964	Visual Studio Code	Running	8	0	0.00
Code.exe	13544	Visual Studio Code	Running	8	0	0.00
svchost.exe (ClipboardSvcGroup -p)	4352	Host Process for Windows Services	Running	5	0	0.00
Code.exe	9064	Visual Studio Code	Running	8	0	0.00
Code.exe	13972	Visual Studio Code	Running	8	0	0.00
NoSQLBooster for MongoDB.exe	5996	NoSQLBooster for MongoDB	Running	8	0	0.00
spoolsv.exe	3600	Spooler SubSystem App	Running	7	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	6500	Host Process for Windows Services	Running	8	0	0.00
Code.exe	12368	Visual Studio Code	Running	7	0	0.00
NoSQLBooster for MongoDB.exe	8948	NoSQLBooster for MongoDB	Running	7	0	0.00
svchost.exe (netsvcs -p)	1812	Host Process for Windows Services	Running	6	0	0.00
RuntimeBroker.exe	14140	Runtime Broker	Running	4	0	0.00
dllhost.exe	10468	COM Surrogate	Running	5	0	0.00
conhost.exe	16980	Console Window Host	Running	5	0	0.00
svchost.exe (DcomLaunch -p)	1428	Host Process for Windows Services	Running	5	0	0.00
svchost.exe (netsvcs -p)	3820	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (NetworkService -p)	3744	Host Process for Windows Services	Running	5	0	0.00
fontdrvhost.exe	2008	Usermode Font Driver Host	Running	5	0	0.00
fontdrvhost.exe	1288	Usermode Font Driver Host	Running	5	0	0.00
fontdrvhost.exe	1296	Usermode Font Driver Host	Running	5	0	0.00
svchost.exe (netsvcs -p)	1208	Host Process for Windows Services	Running	5	0	0.00
svchost.exe (LocalService -p)	2832	Host Process for Windows Services	Running	5	0	0.00
svchost.exe (netsvcs -p)	3064	Host Process for Windows Services	Running	5	0	0.00
svchost.exe (NetSvcs -p)	3772	Host Process for Windows Services	Running	5	0	0.00
svchost.exe (NetworkService -p)	3832	Host Process for Windows Services	Running	5	0	0.00
svchost.exe (LocalService)	3840	Host Process for Windows Services	Running	5	0	0.00
svchost.exe (LocalService -p)	11232	Host Process for Windows Services	Running	3	0	0.00
taskhostw.exe	13196	Host Process for Windows Tasks	Running	4	0	0.00
conhost.exe	13252	Console Window Host	Running	5	0	0.00
SecurityHealthService.exe	10924		Running	5	0	0.00
svchost.exe (NetworkService -p)	2100	Host Process for Windows Services	Running	4	0	0.00
Registry	244		Running	4	0	0.00
svchost.exe (LocalService -p)	1876	Host Process for Windows Services	Running	4	0	0.00
svchost.exe (netsvcs)	2456	Host Process for Windows Services	Running	4	0	0.00
svchost.exe (LocalService -p)	2616	Host Process for Windows Services	Running	4	0	0.00
svchost.exe (netsvcs -p)	2164	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (NetSvcs -p)	2716	Host Process for Windows Services	Running	4	0	0.00
svchost.exe (smbsvcs)	4368	Host Process for Windows Services	Running	5	0	0.00
dllhost.exe	6124	COM Surrogate	Running	4	0	0.00
svchost.exe (LocalService -p)	4120	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	4008	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	5840	Host Process for Windows Services	Running	4	0	0.00
svchost.exe (UnistackSvcGroup)	11308	Host Process for Windows Services	Running	3	0	0.00
Greenshot.exe	13200	Greenshot	Running	4	0	0.00
conhost.exe	14460	Console Window Host	Running	4	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	1744	Host Process for Windows Services	Running	3	0	0.00
winlogon.exe	1044	Windows Logon Application	Running	3	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	1752	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (LocalServiceNetworkRestricted -p)	1824	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (LocalServiceNetworkRestricted -p)	2500	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (LocalServiceNetworkRestricted -p)	2724	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (NetworkService -p)	2856	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (LocalServiceNetworkRestricted -p)	2920	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (appmodel -p)	3796	Host Process for Windows Services	Running	1	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	3804	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (NetworkServiceNetworkRestricted -p)	5248	Host Process for Windows Services	Running	3	0	0.00
NisSrv.exe	6536		Running	3	0	0.00
WmiPrvSE.exe	1640	WMI Provider Host	Running	3	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	5128	Host Process for Windows Services	Running	3	0	0.00
svchost.exe (netsvcs -p)	6192		Running	3	0	0.00
winlogon.exe	11188	Windows Logon Application	Running	3	0	0.00
svchost.exe (UnistackSvcGroup)	12472	Host Process for Windows Services	Running	2	0	0.00
mongodump.exe	8328	ShimGen generated shim - Chocolatey Shim	Running	3	0	0.00
ApplicationFrameHost.exe	2632	Application Frame Host	Running	2	0	0.00
svchost.exe (netsvcs -p)	1760	Host Process for Windows Services	Running	3	0	0.00
smss.exe	828		Running	2	0	0.00
svchost.exe (netsvcs -p)	1392	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (netsvcs -p)	1476	Host Process for Windows Services	Running	3	0	0.00
